Shot,FrameId
r_serve,65
r_forehand,130
r_serve,357
r_serve,572
r_forehand,649
r_serve,900
r_forehand,960
r_backhand,1040
r_forehand,1128
r_backhand,1230
r_backhand,1302
r_backhand,1368
r_serve,1554
r_forehand,1650
r_serve,1767
r_backhand,1827
r_backhand,1896
r_serve,2212
r_backhand,2271
r_serve,2518
r_serve,2776
r_forehand,2831
r_backhand,2895
r_forehand,3233
r_backhand,3311
r_serve,3462
r_forehand,3517
r_backhand,3570
r_backhand,3815
r_backhand,3885
r_backhand,3958
r_forehand,4494
r_serve,5361
r_backhand,5750
r_serve,6228
r_forehand,6294
r_serve,7115
r_forehand,7175
r_forehand,7250
r_forehand,7318
r_backhand,7389
r_serve,8045
